impl,kernel,B,T,D,N,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms
B3_two_phase,phase1_interblock,1,512,1024,16,3.9352995908120647,3.9288334955926985,3.9762080123182386,0.02190253769943579,3.894042019965127,4.00641601299867
B3_two_phase,phase2_ref,1,512,1024,,0.2890745725017041,0.28904201462864876,0.30608399538323283,0.012942469353781627,0.26020800578407943,0.3624170203693211
B4_fused,phase2_fused,1,512,1024,,0.24140872090356424,0.2409169974271208,0.2691249828785658,0.02236530590100109,0.18900001305155456,0.33108299248851836
B1_naive,depth_attention_naive,1,512,2048,4,0.9336725901812315,0.9216249891323969,0.9930829983204603,0.07114938534147139,0.8379589999094605,1.5210000274237245
B3_two_phase,phase1_interblock,1,512,2048,4,2.0895766795729287,2.0756875164806843,2.1244160016067326,0.09398778975758115,2.0593329973053187,3.013000008650124
B1_naive,depth_attention_naive,1,512,2048,8,1.8015063399798237,1.7835415055742487,1.8769169982988387,0.10522153416168453,1.708041992969811,2.678167016711086
B3_two_phase,phase1_interblock,1,512,2048,8,3.9955003681825474,3.9757909980835393,4.082541010575369,0.04920651455842905,3.927291982108727,4.112541995709762
B1_naive,depth_attention_naive,1,512,2048,16,3.526054559915792,3.5210420028306544,3.588041989132762,0.03146514015689524,3.464165987679735,3.620584000600502
B3_two_phase,phase1_interblock,1,512,2048,16,8.126490860013291,8.127478999085724,8.19962500827387,0.05129552317288817,7.985042000655085,8.261916984338313
B3_two_phase,phase2_ref,1,512,2048,,0.3837482904782519,0.37543698272202164,0.4066669789608568,0.07048566925667483,0.34941700869239867,1.048958016326651
B4_fused,phase2_fused,1,512,2048,,0.30568699818104506,0.289562507532537,0.36787500721402466,0.09119401663540722,0.2668329980224371,1.1563329899217933
B1_naive,depth_attention_naive,4,1,512,4,0.19709581014467403,0.193291503819637,0.22408401127904654,0.01539949695039834,0.17695798305794597,0.26362499920651317
B3_two_phase,phase1_interblock,4,1,512,4,0.20844989194301888,0.19960349891334772,0.23362500360235572,0.05938145510016897,0.1805420033633709,0.7844170031603426
B1_naive,depth_attention_naive,4,1,512,8,0.2007871211390011,0.19966650870628655,0.22445799550041556,0.012431856524250263,0.17725001089274883,0.23358399630524218
B3_two_phase,phase1_interblock,4,1,512,8,0.21126407955307513,0.20200050494167954,0.2379999787081033,0.05690962363886447,0.181332987267524,0.7585409912280738
B1_naive,depth_attention_naive,4,1,512,16,0.2023849487886764,0.19899998733308166,0.2263750066049397,0.013799413741055342,0.1799589954316616,0.2473339845892042
B3_two_phase,phase1_interblock,4,1,512,16,0.21950002032099292,0.20837501506321132,0.2487500023562461,0.06277386906987856,0.19058299949392676,0.8116250101011246
B3_two_phase,phase2_ref,4,1,512,,0.19503448100294918,0.19127050472889096,0.21925001055933535,0.014490460234862444,0.1738749851938337,0.23933299235068262
B4_fused,phase2_fused,4,1,512,,0.19080204947385937,0.18902048759628087,0.21737499628216028,0.01713507790487315,0.16666698502376676,0.2566250041127205
B1_naive,depth_attention_naive,4,1,1024,4,0.20266164181521162,0.1985835115192458,0.22487499518319964,0.013994755280379495,0.17929199384525418,0.2410409797448665
B3_two_phase,phase1_interblock,4,1,1024,4,0.2114258595975116,0.20249999943189323,0.23724997299723327,0.05914281266414095,0.15145898214541376,0.7724579772911966
B1_naive,depth_attention_naive,4,1,1024,8,0.21091959992190823,0.21516649576369673,0.23512498592026532,0.016305867590627365,0.18120900494977832,0.2595839905552566
B3_two_phase,phase1_interblock,4,1,1024,8,0.22457573941210285,0.21300000662449747,0.2544169838074595,0.0657387233151638,0.190417020348832,0.8312920108437538
B1_naive,depth_attention_naive,4,1,1024,16,0.20545615232549608,0.2025419962592423,0.22933300351724029,0.013520626130396108,0.18287499551661313,0.237083004321903
B3_two_phase,phase1_interblock,4,1,1024,16,0.23294872982660308,0.2194794942624867,0.27000001864507794,0.07883217471120238,0.19699998665601015,0.9847079927567393
B3_two_phase,phase2_ref,4,1,1024,,0.19263407913967967,0.18960401939693838,0.22625000565312803,0.014962260741774615,0.17316598678007722,0.25183300022035837
B4_fused,phase2_fused,4,1,1024,,0.20244659011950716,0.20181250874884427,0.2233749837614596,0.04704626076322952,0.16674998914822936,0.5880000244360417
B1_naive,depth_attention_naive,4,1,2048,4,0.20480830018641427,0.20120848785154521,0.2300830092281103,0.015980175912398743,0.17574999947100878,0.2587079943623394
B3_two_phase,phase1_interblock,4,1,2048,4,0.21315159858204424,0.2098955010296777,0.24300001678057015,0.02452426617523346,0.1915419998113066,0.4083749954588711
B1_naive,depth_attention_naive,4,1,2048,8,0.2111791496281512,0.20127098832745105,0.23541698465123773,0.060321044282746136,0.18000000272877514,0.7936659967526793
B3_two_phase,phase1_interblock,4,1,2048,8,0.22474120021797717,0.2206250064773485,0.2521249989513308,0.015425609326244323,0.20458298968151212,0.2952079812530428
B1_naive,depth_attention_naive,4,1,2048,16,0.21595041966065764,0.21081199520267546,0.24370898609049618,0.013408582557450907,0.19483300275169313,0.25095802266150713
B3_two_phase,phase1_interblock,4,1,2048,16,0.26033531001303345,0.2515204978408292,0.2976660034619272,0.06914630951970767,0.22570800501853228,0.9189159900415689
B3_two_phase,phase2_ref,4,1,2048,,0.19649285153718665,0.19518750195857137,0.21679099882021546,0.012253244735115396,0.176291010575369,0.24049999774433672
B4_fused,phase2_fused,4,1,2048,,0.19397329015191644,0.19197900837752968,0.21645799279212952,0.01587671713176924,0.1625829900149256,0.22650000755675137
B1_naive,depth_attention_naive,4,16,512,4,0.2102707905578427,0.20585449237842113,0.23437500931322575,0.01472694669131371,0.19099999917671084,0.24920800933614373
B3_two_phase,phase1_interblock,4,16,512,4,0.2534574086894281,0.24672898871358484,0.2903339918702841,0.04707067236673043,0.22258301032707095,0.6735000060871243
B1_naive,depth_attention_naive,4,16,512,8,0.22310286934953183,0.21993699192535132,0.25529201957397163,0.017103002604335726,0.19833300029858947,0.2694999857340008
B3_two_phase,phase1_interblock,4,16,512,8,0.29737792850937694,0.2887290029320866,0.31949998810887337,0.06691146007476845,0.24020799901336432,0.9266670094802976
B1_naive,depth_attention_naive,4,16,512,16,0.25337325991131365,0.2500835107639432,0.2921659906860441,0.015128824678033729,0.22950000129640102,0.3088329976890236
B3_two_phase,phase1_interblock,4,16,512,16,0.35877333051757887,0.3522500046528876,0.3901250020135194,0.04694508585290428,0.3280829987488687,0.7940840150695294
B3_two_phase,phase2_ref,4,16,512,,0.1995478881872259,0.19787499331869185,0.22616700152866542,0.011525682457466463,0.18195799202658236,0.2442499971948564
B4_fused,phase2_fused,4,16,512,,0.1989470308762975,0.18993749108631164,0.21979099255986512,0.05558943174907415,0.17008298891596496,0.7302080048248172
B1_naive,depth_attention_naive,4,16,1024,4,0.23193996952613816,0.23812500876374543,0.25783301680348814,0.01794004595881463,0.20554100046865642,0.2962500147987157
B3_two_phase,phase1_interblock,4,16,1024,4,0.2899945096578449,0.27714550378732383,0.319957995088771,0.06719661916238112,0.26029199943877757,0.9213750017806888
B1_naive,depth_attention_naive,4,16,1024,8,0.2590254115057178,0.2532079961383715,0.2900409745052457,0.01776710557475753,0.22800001897849143,0.31945802038535476
B3_two_phase,phase1_interblock,4,16,1024,8,0.3626603278098628,0.35268750798422843,0.39116598782129586,0.06526109694551577,0.32566700247116387,0.9866670006886125
B1_naive,depth_attention_naive,4,16,1024,16,0.3187886910745874,0.31229201704263687,0.3531250113155693,0.028309157667035487,0.26341600460000336,0.49954099813476205
B3_two_phase,phase1_interblock,4,16,1024,16,0.537587889994029,0.5236875003902242,0.5850000015925616,0.05396637782949161,0.5036660004407167,0.9585829975549132
B3_two_phase,phase2_ref,4,16,1024,,0.2073146018665284,0.2043539861915633,0.23004200193099678,0.013418996575697872,0.18779200036078691,0.25283300783485174
B4_fused,phase2_fused,4,16,1024,,0.20158660947345197,0.19466649973765016,0.22449999232776463,0.05177852393155296,0.17283298075199127,0.6911669916007668
B1_naive,depth_attention_naive,4,16,2048,4,0.2528028711094521,0.251374498475343,0.2760839997790754,0.014407926007129626,0.23008298012427986,0.2857089857570827
B3_two_phase,phase1_interblock,4,16,2048,4,0.366834529559128,0.35674998071044683,0.3953340055886656,0.06568530817729566,0.3351669874973595,0.9969169914256781
B1_naive,depth_attention_naive,4,16,2048,8,0.31983243010472506,0.313979500788264,0.3581249911803752,0.02359853824921313,0.28916701558046043,0.45608400250785053
B3_two_phase,phase1_interblock,4,16,2048,8,0.5549320406862535,0.5391250015236437,0.6287080177571625,0.0705456225367695,0.5130000063218176,1.1773339938372374
B1_naive,depth_attention_naive,4,16,2048,16,0.437755370803643,0.42941648280248046,0.4796670109499246,0.023893974708896232,0.41029200656339526,0.5180829903110862
B3_two_phase,phase1_interblock,4,16,2048,16,1.0321729621500708,1.0235414956696332,1.0705830063670874,0.06951478814664809,0.9394170192535967,1.6310829960275441
B3_two_phase,phase2_ref,4,16,2048,,0.24596288887551054,0.24529150687158108,0.2616250130813569,0.013193638068835124,0.21512500825338066,0.3014169924426824
B4_fused,phase2_fused,4,16,2048,,0.2045717285363935,0.20145848975516856,0.22816599812358618,0.015888305843966315,0.18195901066064835,0.26066601276397705
B1_naive,depth_attention_naive,4,128,512,4,0.2953721390804276,0.28812499658670276,0.32724998891353607,0.0336457264048838,0.2705829974729568,0.5990829959046096
B3_two_phase,phase1_interblock,4,128,512,4,0.5516862808144651,0.525937502970919,0.617874989984557,0.10976379568006861,0.47679198905825615,1.233584014698863
B1_naive,depth_attention_naive,4,128,512,8,0.4363787401234731,0.42689549445640296,0.479957991046831,0.027947949990421776,0.39962498703971505,0.6171250133775175
B3_two_phase,phase1_interblock,4,128,512,8,1.012262541335076,0.9893540118355304,1.0611670149955899,0.13154464873283891,0.9039579890668392,2.2671250044368207
B1_naive,depth_attention_naive,4,128,512,16,0.9036629000911489,0.8914579957490787,0.9501660242676735,0.06617917544787659,0.8123329898808151,1.3908340188208967
B3_two_phase,phase1_interblock,4,128,512,16,1.8296361796092242,1.8250830034958199,1.87312500202097,0.0810487176773533,1.7685419879853725,2.5667910231277347
B3_two_phase,phase2_ref,4,128,512,,0.25990337861003354,0.2577915001893416,0.2908329770434648,0.0156306964004314,0.2308750117663294,0.30679101473651826
B4_fused,phase2_fused,4,128,512,,0.2043362392578274,0.19993747991975397,0.23099998361431062,0.013204389912233756,0.1885410165414214,0.25954199372790754
B1_naive,depth_attention_naive,4,128,1024,4,0.448606230202131,0.433999506640248,0.48658301238901913,0.07140364992371442,0.4132920003030449,1.1092500062659383
B3_two_phase,phase1_interblock,4,128,1024,4,1.0298542206874117,1.0132295137736946,1.0717080149333924,0.08138592654385209,0.9493749821558595,1.7455839843023568
B1_naive,depth_attention_naive,4,128,1024,8,0.9266783806378953,0.9036249975906685,1.0011249978560954,0.1445813668409898,0.8226249774452299,2.273291989695281
B3_two_phase,phase1_interblock,4,128,1024,8,1.864440050558187,1.8432289944030344,1.9189580052625388,0.09330110576215973,1.8077080021612346,2.7178339951206
B1_naive,depth_attention_naive,4,128,1024,16,1.7547858884790912,1.745770510751754,1.8018340051639825,0.053424351810638815,1.696791994618252,2.2113749873824418
B3_two_phase,phase1_interblock,4,128,1024,16,3.602673740242608,3.6017289967276156,3.66120898979716,0.036242099002959625,3.531249996740371,3.7296249938663095
B3_two_phase,phase2_ref,4,128,1024,,0.28760909946868196,0.28733350336551666,0.3081670147366822,0.014820643585150268,0.259916007053107,0.32970900065265596
B4_fused,phase2_fused,4,128,1024,,0.23941456893226132,0.23702099861111492,0.2737079921644181,0.023197720249319796,0.18874998204410076,0.3539170138537884
B1_naive,depth_attention_naive,4,128,2048,4,0.925606231612619,0.9132709965342656,0.9705830016173422,0.066287377735399,0.8347500115633011,1.4626249903813004
B3_two_phase,phase1_interblock,4,128,2048,4,1.9059495400870219,1.893020496936515,1.9600829982664436,0.06862536246531262,1.8472920055501163,2.3602499859407544
B1_naive,depth_attention_naive,4,128,2048,8,1.770660441252403,1.7612084920983762,1.8125410133507103,0.08936693333098188,1.680540997767821,2.6037500065285712
